__run_id,__done,quantization_type,task_name,Inference Time,GPU Energy,CPU Energy,Memory Energy,Accuracy,GPU Busy Time,CPU Busy Time,Memory Usage
run_0_repetition_0,DONE,awq-4-bit,SA,1695.9676292841323,501.1426999999996,76.59999999999971,0.1999999999999996,0.9,5.649700721958652,1657.277370031999,7197.25
run_1_repetition_0,DONE,awq-4-bit,SPS,1623.016318996437,479.7484799999999,649.700000000001,0.1000000000000003,0.7033333333333334,2.6716813140083104,1584.9984041209996,7197.25
run_2_repetition_0,DONE,awq-4-bit,NLI,1543.964349377202,455.8348909999999,426.1000000000003,0.0999999999999998,0.5383333333333333,2.546981706051156,1504.940583838003,7197.25
run_3_repetition_0,DONE,gptq-4-bit,SA,1714.1169652966782,506.818946,572.4000000000011,0.1999999999999996,0.9033333333333332,5.649725883966312,1676.5493734099991,7213.25
run_4_repetition_0,DONE,gptq-4-bit,SPS,1618.4994196939515,478.0690179999998,1078.0000000000011,2.220446049250313e-16,0.6366666666666667,2.675623717950657,1579.1521742320017,7213.25
run_5_repetition_0,DONE,gptq-4-bit,NLI,1498.7484784750268,442.1968819999999,837.9000000000043,0.1000000000000003,0.5516666666666666,2.547323956969194,1460.0956199670006,7213.25
run_6_repetition_0,DONE,16-bit,SA,4692.352417026646,1396.3243740000005,-616.8000000000004,4.440892098500626e-16,0.9066666666666666,15.601992250187322,4597.548223231998,17437.25
run_7_repetition_0,DONE,16-bit,SPS,4126.309462275822,1229.764761,536.3999999999983,-0.1000000000000003,0.5883333333333334,7.558860182994977,4046.1876270979983,17437.25
run_8_repetition_0,DONE,16-bit,NLI,4215.458701431402,1255.9002519999997,970.099999999998,0.0999999999999998,0.535,7.001656878972426,4134.926001131,18461.25
run_9_repetition_0,DONE,32-bit,SA,9862.070516706444,2939.005611999998,217.20000000000016,0.0,0.91,32.84820998599753,9711.754149317994,35991.25
run_10_repetition_0,DONE,32-bit,SPS,9298.661016955506,2775.2420029999994,725.1000000000013,-0.2999999999999974,0.5783333333333334,15.548515135073105,9163.283233747004,36887.25
run_11_repetition_0,DONE,32-bit,NLI,8876.028702477342,2647.462991999999,-244.90000000000072,0.1000000000000007,0.535,15.214024249929937,8740.954237523998,34967.25
run_0_repetition_1,DONE,awq-4-bit,SA,1692.6657931888476,500.9133700000001,236.80000000000032,0.2,0.9,5.653348644031212,1658.8158838860004,7197.25
run_1_repetition_1,DONE,awq-4-bit,SPS,1625.5469454894774,480.4562359999997,650.699999999998,0.0999999999999996,0.7033333333333334,2.676076993928291,1587.6167107840015,7197.25
run_2_repetition_1,DONE,awq-4-bit,NLI,1546.3990699880524,456.3938130000001,412.6000000000001,0.0999999999999996,0.5383333333333333,2.7804952120641246,1508.3234356539997,7197.25
run_3_repetition_1,DONE,gptq-4-bit,SA,1720.695237148786,507.3432759999998,484.1999999999986,0.0,0.9033333333333332,5.645940363872796,1672.9663011979992,7213.25
run_4_repetition_1,DONE,gptq-4-bit,SPS,1615.5082904387964,477.40830699999975,513.5999999999975,0.2000000000000015,0.6366666666666667,2.673651344026439,1577.1415144439995,7213.25
run_5_repetition_1,DONE,gptq-4-bit,NLI,1496.5799819383535,441.8370149999997,227.2999999999987,0.1000000000000003,0.5516666666666666,2.549810009077192,1460.2233507050018,7213.25
run_6_repetition_1,DONE,16-bit,SA,4691.414103394374,1395.8794520000001,738.6000000000004,-0.200000000000001,0.9066666666666666,15.602246907772496,4599.040028407998,17437.25
run_7_repetition_1,DONE,16-bit,SPS,4129.213807235588,1229.768555,505.3000000000008,0.0,0.5883333333333334,7.367945917998441,4044.891231394999,17437.25
run_8_repetition_1,DONE,16-bit,NLI,4218.422589054564,1256.424901,816.5000000000023,0.1000000000000005,0.535,7.000068655004725,4129.231970384003,18461.25
run_9_repetition_1,DONE,32-bit,SA,9860.996594332857,2937.611606,-105.60000000000028,1.3322676295501878e-15,0.91,33.09028385812417,9710.503476420008,35991.25
run_10_repetition_1,DONE,32-bit,SPS,9298.134033937822,2774.903831000001,1665.2000000000014,0.2000000000000006,0.5783333333333334,15.52558024902828,9159.549663871992,36887.25
run_11_repetition_1,DONE,32-bit,NLI,8864.459644973278,2645.552544000003,837.5000000000038,-0.2999999999999985,0.535,14.741794486995786,8733.079113567006,34967.25
run_0_repetition_2,DONE,awq-4-bit,SA,1687.4732947763987,500.01900200000006,413.3999999999995,0.3999999999999998,0.9,5.650590524077416,1658.1271933960006,7197.25
run_1_repetition_2,DONE,awq-4-bit,SPS,1620.9125350931429,480.4276380000001,99.09999999999933,0.4000000000000006,0.7033333333333334,2.677430501906201,1587.1389005540004,7197.25
run_2_repetition_2,DONE,awq-4-bit,NLI,1537.4922393789748,455.327933,878.1000000000045,0.0999999999999998,0.5383333333333333,2.552201375947334,1508.5288404859998,7197.25
run_3_repetition_2,DONE,gptq-4-bit,SA,1707.0323173510842,505.99282400000055,701.8000000000005,4.440892098500626e-16,0.9033333333333332,5.6501215279568,1677.763819895998,7213.25
run_4_repetition_2,DONE,gptq-4-bit,SPS,1608.8543626188766,477.0189260000003,326.89999999999964,1.2999999999999998,0.6366666666666667,2.8956373119726777,1579.5887549410038,7213.25
run_5_repetition_2,DONE,gptq-4-bit,NLI,1488.4888433718588,440.6408030000004,430.4000000000002,-1.6000000000000003,0.5516666666666666,2.550500442041084,1461.7787421480018,7213.25
run_6_repetition_2,DONE,16-bit,SA,4685.2551056128,1395.8883820000015,869.2000000000005,5.000000000000002,0.9066666666666666,16.645862214034423,4594.129098784002,17437.25
